Hotel_Name_City,Review_Overall_Rating,date_of_review,Month_of_Visit,Review_Type,Rating_Value,Rating_Location,Rating_Sleep_Quality,Rating_Rooms,Rating_Cleanliness,Rating_Service
Bombay Hotel Jaipur,3,8/26/2014,Aug-14,with family,3,4,NA,NA,NA,3
Bombay Hotel Jaipur,1,06-02-2013,Jun-13,NA,1,2,NA,1,1,3
Coffea Aroma Resort - Wayanad Meppadi,2,10/20/2014,Oct-14,with friends,2,NA,NA,2,NA,1
Coffea Aroma Resort - Wayanad Meppadi,3,9/29/2014,Sep-14,with friends,NA,4,NA,NA,3,3
Coffea Aroma Resort - Wayanad Meppadi,3,09-03-2014,Jul-14,as a couple,NA,NA,3,2,NA,5
Coffea Aroma Resort - Wayanad Meppadi,2,08-03-2014,Jul-14,with family,2,3,NA,NA,NA,2
Coffea Aroma Resort - Wayanad Meppadi,3,7/22/2014,Jul-14,as a couple,NA,NA,NA,NA,NA,NA
Coffea Aroma Resort - Wayanad Meppadi,4,06-06-2014,Jun-14,with family,4,5,5,3,3,3
Coffea Aroma Resort - Wayanad Meppadi,5,05-05-2014,May-14,as a couple,5,5,5,4,4,5
Coffea Aroma Resort - Wayanad Meppadi,4,4/30/2014,Apr-14,with family,4,4,3,3,3,5
Coffea Aroma Resort - Wayanad Meppadi,4,4/21/2014,Apr-14,as a couple,4,5,4,4,5,5
Coffea Aroma Resort - Wayanad Meppadi,5,3/18/2014,Mar-14,as a couple,5,5,5,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,4,3/15/2014,Feb-14,with friends,5,3,3,4,4,5
Coffea Aroma Resort - Wayanad Meppadi,4,03-05-2014,Apr-13,with family,5,5,3,3,3,4
Coffea Aroma Resort - Wayanad Meppadi,4,02-02-2014,Jan-14,with friends,4,4,3,3,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,02-01-2014,Jan-14,as a couple,5,5,4,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,01-08-2014,Dec-13,with family,3,4,4,4,3,4
Coffea Aroma Resort - Wayanad Meppadi,5,01-06-2014,Dec-13,with family,5,5,5,4,5,4
Coffea Aroma Resort - Wayanad Meppadi,1,01-06-2014,Jan-14,with family,1,3,1,1,1,1
Coffea Aroma Resort - Wayanad Meppadi,5,12/30/2013,Dec-13,as a couple,5,5,5,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,4,11/27/2013,Nov-13,as a couple,5,4,5,4,4,5
Coffea Aroma Resort - Wayanad Meppadi,3,11-11-2013,Nov-13,with family,4,5,4,3,3,4
Coffea Aroma Resort - Wayanad Meppadi,5,09-06-2013,Mar-13,with friends,5,5,5,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,4,06-02-2013,Apr-13,with family,3,4,4,3,3,4
Coffea Aroma Resort - Wayanad Meppadi,4,05-07-2013,May-13,with family,4,5,4,3,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,4/17/2013,Apr-13,with family,4,4,4,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,5,04-12-2013,Apr-13,with family,5,5,5,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,5,03-10-2013,Jan-13,with family,5,5,5,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,4,03-08-2013,Mar-13,NA,5,4,NA,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,3,2/26/2013,Jan-13,with family,4,5,3,2,2,3
Coffea Aroma Resort - Wayanad Meppadi,5,1/23/2013,Dec-12,with friends,5,5,5,5,4,5
Coffea Aroma Resort - Wayanad Meppadi,4,1/21/2013,Dec-12,with family,4,5,5,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,1/20/2013,Feb-12,with friends,4,5,3,4,3,3
Coffea Aroma Resort - Wayanad Meppadi,5,1/19/2013,Jan-13,with family,5,5,4,5,4,4
Coffea Aroma Resort - Wayanad Meppadi,5,1/16/2013,Dec-12,with friends,5,5,5,5,5,4
Coffea Aroma Resort - Wayanad Meppadi,5,1/14/2013,Dec-12,with friends,5,5,4,5,4,4
Coffea Aroma Resort - Wayanad Meppadi,2,01-09-2013,Dec-12,as a couple,2,3,2,2,2,3
Coffea Aroma Resort - Wayanad Meppadi,4,01-04-2013,Dec-12,with family,3,4,3,3,4,5
Coffea Aroma Resort - Wayanad Meppadi,4,12/27/2012,Dec-12,as a couple,4,4,4,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,12/21/2012,May-12,with friends,4,5,4,4,4,5
Coffea Aroma Resort - Wayanad Meppadi,5,11/29/2012,Nov-12,as a couple,5,4,5,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,5,11/27/2012,Jun-12,with friends,4,4,3,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,5,11/27/2012,Aug-12,with family,5,5,4,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,5,11/26/2012,Nov-12,as a couple,NA,NA,NA,NA,NA,NA
Coffea Aroma Resort - Wayanad Meppadi,5,11/17/2012,May-12,with friends,4,5,4,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,5,11/14/2012,Nov-12,with family,4,5,3,3,3,5
Coffea Aroma Resort - Wayanad Meppadi,5,11-04-2012,Aug-12,with family,5,5,5,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,5,11-01-2012,Dec-11,with friends,5,5,5,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,5,10/26/2012,Jun-12,with friends,5,4,5,3,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,10-12-2012,Oct-12,with family,4,4,4,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,09-12-2012,Aug-12,as a couple,4,4,4,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,09-07-2012,Aug-12,as a couple,4,5,5,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,04-01-2012,Dec-11,as a couple,4,5,5,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,1/29/2012,Sep-11,as a couple,4,3,3,3,3,4
Coffea Aroma Resort - Wayanad Meppadi,5,6/20/2011,Apr-11,with friends,5,NA,5,NA,5,5
Coffea Aroma Resort - Wayanad Meppadi,4,06-07-2011,Jun-11,with family,4,NA,4,NA,4,4
Costa Malabari Kannur,4,10-08-2014,Oct-14,with family,5,4,NA,NA,NA,4
Costa Malabari Kannur,5,8/18/2014,Aug-14,as a couple,NA,5,NA,5,NA,5
Costa Malabari Kannur,4,08-06-2014,Nov-13,as a couple,NA,NA,5,NA,5,5
Costa Malabari Kannur,4,08-06-2014,Jun-14,solo,5,NA,NA,NA,5,5
Costa Malabari Kannur,5,7/24/2014,Apr-14,solo,NA,NA,5,4,NA,5
Costa Malabari Kannur,4,5/19/2014,Feb-14,with friends,4,3,4,4,4,5
Costa Malabari Kannur,4,5/13/2014,Feb-14,with friends,4,4,4,4,4,5
Costa Malabari Kannur,3,4/20/2014,Apr-14,as a couple,4,4,3,3,3,5
Costa Malabari Kannur,5,04-10-2014,Mar-14,as a couple,5,5,5,4,4,5
Costa Malabari Kannur,4,03-07-2014,Feb-14,as a couple,4,5,5,5,5,3
Costa Malabari Kannur,5,2/23/2014,Feb-14,with friends,5,5,5,5,5,5
Costa Malabari Kannur,5,2/20/2014,Feb-14,NA,5,5,NA,5,5,5
Costa Malabari Kannur,4,02-08-2014,Jan-14,as a couple,5,5,4,3,3,4
Costa Malabari Kannur,5,02-03-2014,Jan-14,as a couple,NA,NA,NA,NA,NA,NA
Costa Malabari Kannur,4,1/26/2014,Nov-13,solo,5,4,5,3,4,5
Costa Malabari Kannur,5,1/25/2014,Jan-14,solo,5,4,5,4,5,5
Costa Malabari Kannur,3,1/25/2014,Jan-14,with friends,3,3,3,2,3,4
Costa Malabari Kannur,5,11-06-2013,Dec-12,with friends,5,5,5,5,5,5
Costa Malabari Kannur,5,8/26/2013,Aug-13,with friends,4,5,4,4,4,4
Costa Malabari Kannur,5,08-11-2013,Dec-12,with family,3,3,4,4,5,5
Costa Malabari Kannur,5,05-04-2013,Mar-13,as a couple,5,5,5,5,5,5
Costa Malabari Kannur,5,4/13/2013,Apr-13,solo,4,5,5,4,5,5
Costa Malabari Kannur,5,04-04-2013,Mar-13,NA,5,4,NA,5,5,5
Costa Malabari Kannur,5,3/13/2013,Feb-13,as a couple,5,5,5,5,5,5
Costa Malabari Kannur,5,03-10-2013,Feb-13,with friends,3,5,5,4,5,4
Costa Malabari Kannur,5,03-06-2013,Jan-13,as a couple,5,5,4,4,5,5
Costa Malabari Kannur,1,2/25/2013,Feb-13,solo,1,1,1,1,1,1
Costa Malabari Kannur,5,2/17/2013,Feb-13,as a couple,5,5,5,5,5,5
Costa Malabari Kannur,5,02-10-2013,Nov-12,solo,NA,NA,NA,NA,NA,NA
Costa Malabari Kannur,5,02-01-2013,Jan-13,as a couple,4,5,5,4,4,5
Costa Malabari Kannur,4,1/23/2013,Jan-13,as a couple,3,5,5,4,5,5
Costa Malabari Kannur,5,1/20/2013,Jan-13,solo,5,5,5,5,5,5
Costa Malabari Kannur,5,1/19/2013,Dec-12,as a couple,4,4,5,5,5,5
Costa Malabari Kannur,4,01-05-2013,Dec-12,as a couple,4,4,5,3,4,4
Costa Malabari Kannur,5,11/30/2012,Nov-12,as a couple,5,5,5,5,3,5
Costa Malabari Kannur,5,11/28/2012,Nov-12,as a couple,4,5,5,4,5,5
Costa Malabari Kannur,4,11/19/2012,Oct-12,solo,4,4,4,3,4,4
Costa Malabari Kannur,5,05-10-2012,Apr-12,as a couple,5,5,5,4,5,5
Costa Malabari Kannur,3,4/28/2012,Apr-12,as a couple,3,3,3,3,3,3
Costa Malabari Kannur,5,2/27/2012,Feb-12,with friends,5,5,5,5,5,5
Costa Malabari Kannur,4,2/26/2012,Feb-12,with friends,3,5,4,4,4,4
Costa Malabari Kannur,5,2/21/2012,Feb-12,as a couple,4,5,5,4,5,5
Costa Malabari Kannur,5,2/14/2012,Feb-12,as a couple,5,5,4,3,4,5
Costa Malabari Kannur,4,02-11-2012,Jan-12,as a couple,4,4,4,4,4,4
Costa Malabari Kannur,4,02-07-2012,Jan-12,with friends,4,5,4,NA,4,5
Costa Malabari Kannur,5,02-06-2012,Feb-12,with friends,5,4,5,5,5,5
Costa Malabari Kannur,3,02-05-2012,Jan-12,as a couple,3,3,3,3,4,4
Costa Malabari Kannur,2,1/29/2012,Jan-12,with family,2,5,3,2,2,2
Costa Malabari Kannur,2,1/29/2012,Jan-12,with family,2,4,2,2,2,1
Costa Malabari Kannur,5,1/18/2012,Jan-12,with family,5,4,4,4,5,5
Costa Malabari Kannur,5,12/21/2011,Oct-11,as a couple,5,5,5,5,5,5
Costa Malabari Kannur,4,12-12-2011,Dec-11,with friends,4,4,4,4,4,4
Costa Malabari Kannur,3,10/20/2011,Aug-11,with family,4,4,3,2,3,5
Costa Malabari Kannur,5,8/30/2011,Jul-11,with friends,5,NA,4,NA,5,5
Costa Malabari Kannur,4,8/19/2011,Jul-11,solo,NA,NA,NA,NA,NA,NA
Costa Malabari Kannur,5,4/24/2011,Apr-11,NA,4,5,NA,5,5,5
Costa Malabari Kannur,5,2/24/2011,Jan-11,as a couple,3,4,4,4,5,5
Costa Malabari Kannur,4,2/17/2011,Dec-10,with friends,5,5,5,4,4,4
Costa Malabari Kannur,5,2/14/2011,Jan-11,as a couple,5,5,5,5,5,5
Costa Malabari Kannur,5,2/14/2011,Nov-10,as a couple,5,5,5,5,5,5
Costa Malabari Kannur,5,02-12-2011,Dec-10,as a couple,5,5,5,5,5,5
Costa Malabari Kannur,5,02-01-2011,Jan-11,as a couple,5,4,5,4,5,4
Costa Malabari Kannur,5,1/27/2011,Jan-11,with friends,4,5,5,4,5,5
Costa Malabari Kannur,5,11-03-2010,Oct-10,as a couple,4,5,5,4,4,5
Costa Malabari Kannur,5,10/13/2010,Oct-10,as a couple,5,4,4,5,5,5
Costa Malabari Kannur,5,8/15/2010,Feb-10,as a couple,4,3,4,3,5,5
Costa Malabari Kannur,5,5/31/2010,May-10,as a couple,5,5,5,5,4,5
Costa Malabari Kannur,5,2/23/2010,Feb-10,as a couple,5,5,5,2,5,4
Costa Malabari Kannur,5,02-10-2010,Dec-09,with family,4,4,NA,3,5,5
Costa Malabari Kannur,5,01-11-2010,Dec-09,as a couple,4,5,NA,4,4,4
Costa Malabari Kannur,4,01-06-2010,Oct-09,as a couple,5,5,NA,3,4,5
Costa Malabari Kannur,5,12/20/2009,Nov-09,as a couple,4,5,NA,3,5,5
Costa Malabari Kannur,5,11/17/2009,Sep-09,as a couple,4,5,NA,4,3,5
Costa Malabari Kannur,5,11-10-2009,Apr-07,as a couple,5,4,NA,3,5,4
Costa Malabari Kannur,5,5/21/2009,Feb-09,NA,5,5,NA,5,5,5
Costa Malabari Kannur,4,1/31/2009,Jan-09,as a couple,4,5,NA,3,4,5
Costa Malabari Kannur,5,5/13/2008,Nov-07,as a couple,5,5,NA,3,4,5
Costa Malabari Kannur,5,03-02-2008,Feb-08,as a couple,5,4,NA,3,5,5
Costa Malabari Kannur,2,01-04-2008,Dec-07,NA,NA,NA,NA,NA,NA,NA
Costa Malabari Kannur,1,01-02-2008,NA,NA,1,1,NA,1,1,1
Costa Malabari Kannur,4,12-09-2007,Nov-07,as a couple,3,3,NA,4,4,5
Costa Malabari Kannur,4,05-06-2007,May-07,with friends,4,3,NA,2,4,5
Costa Malabari Kannur,5,05-03-2007,May-07,as a couple,5,4,NA,5,5,5
Costa Malabari Kannur,5,03-01-2007,Feb-07,with family,5,5,NA,5,5,5
Duke Palace Mathura,3,04-11-2013,Apr-13,on business,3,4,2,3,3,3
Duke Palace Mathura,1,3/18/2013,Nov-12,with family,1,2,1,1,1,1
"Gmvn Tourist Rest House, Syalsaur Rudra_Prayag",4,9/20/2014,Sep-14,with friends,NA,3,4,NA,NA,3
"Gmvn Tourist Rest House, Syalsaur Rudra_Prayag",3,06-04-2014,May-14,with family,3,5,3,3,4,3
"Gmvn Tourist Rest House, Syalsaur Rudra_Prayag",4,6/21/2013,Feb-13,with family,5,5,3,4,4,5
"Gmvn Tourist Rest House, Syalsaur Rudra_Prayag",4,06-03-2013,Jun-13,with family,4,5,5,4,5,4
"Gmvn Tourist Rest House, Syalsaur Rudra_Prayag",4,5/16/2013,Jun-12,with family,5,5,5,5,4,3
"Gmvn Tourist Rest House, Syalsaur Rudra_Prayag",5,04-11-2013,Feb-13,with family,5,5,4,4,4,5
"Gmvn Tourist Rest House, Syalsaur Rudra_Prayag",4,02-03-2013,Jun-12,with family,3,5,4,3,3,3
"Gmvn Tourist Rest House, Syalsaur Rudra_Prayag",5,11-05-2012,Oct-12,with friends,5,5,5,5,5,5
"Gmvn Tourist Rest House, Syalsaur Rudra_Prayag",5,11-05-2012,Jul-12,as a couple,5,5,5,5,5,5
"Gmvn Tourist Rest House, Syalsaur Rudra_Prayag",4,11-03-2012,Oct-12,with family,4,5,5,5,5,5
Hotel Classic Chandigarh Chandigarh,3,10-12-2014,Oct-14,with friends,4,NA,NA,3,NA,3
Hotel Classic Chandigarh Chandigarh,3,08-12-2014,Aug-14,with friends,NA,NA,NA,NA,NA,NA
Hotel Classic Chandigarh Chandigarh,5,08-05-2014,Jul-14,as a couple,5,NA,NA,NA,5,5
Hotel Classic Chandigarh Chandigarh,5,08-04-2014,Jul-14,with family,5,NA,NA,NA,5,5
Hotel Classic Chandigarh Chandigarh,5,08-03-2014,Jul-14,on business,NA,5,NA,NA,5,5
Hotel Classic Chandigarh Chandigarh,3,6/28/2014,Jul-13,as a couple,4,3,4,4,4,3
Hotel Classic Chandigarh Chandigarh,4,5/23/2014,May-14,on business,5,5,4,4,3,3
Hotel Classic Chandigarh Chandigarh,2,05-08-2014,Apr-14,solo,3,4,2,2,1,3
Hotel Classic Chandigarh Chandigarh,4,05-01-2014,Apr-14,NA,4,4,NA,4,4,4
Hotel Classic Chandigarh Chandigarh,3,04-07-2014,Apr-14,as a couple,4,5,4,3,4,3
Hotel Maya International Srimangala,3,8/25/2014,Aug-14,with friends,NA,NA,NA,NA,NA,NA
Hotel Maya International Srimangala,3,3/27/2014,Feb-14,with friends,3,4,NA,NA,3,3
Hotel Maya International Srimangala,3,03-11-2014,Mar-14,with family,5,5,3,3,4,4
Hotel Maya International Srimangala,1,12-02-2013,Nov-13,on business,2,3,2,3,4,1
Hotel Maya International Srimangala,4,04-12-2013,Jun-12,on business,4,3,3,3,3,4
Hotel Maya International Srimangala,4,01-02-2013,Dec-12,NA,4,3,NA,3,4,4
Hotel Maya International Srimangala,3,12-10-2012,Nov-12,with family,4,5,5,4,4,3
Hotel Maya International Srimangala,4,10-02-2012,Sep-12,with friends,4,4,4,3,4,3
Hotel Naveen Regency Chitradurga,4,11-02-2014,Oct-14,with family,NA,NA,NA,NA,NA,NA
Hotel Naveen Regency Chitradurga,2,9/17/2014,Sep-14,with family,NA,NA,NA,NA,NA,NA
Hotel Naveen Regency Chitradurga,3,07-09-2014,Jun-14,as a couple,NA,3,NA,3,NA,4
Hotel Naveen Regency Chitradurga,4,6/17/2014,Apr-14,with family,4,3,4,5,5,5
Hotel Naveen Regency Chitradurga,3,4/22/2014,Apr-14,as a couple,2,3,2,NA,2,3
Hotel Naveen Regency Chitradurga,3,2/25/2014,Nov-13,with friends,4,4,4,4,3,4
Hotel Naveen Regency Chitradurga,2,1/24/2014,Jan-14,with friends,2,3,1,1,2,2
Hotel Naveen Regency Chitradurga,4,01-09-2014,Dec-13,with family,4,4,4,4,4,4
Hotel Naveen Regency Chitradurga,3,11/30/2013,Nov-13,with family,1,4,3,3,3,3
Hotel Naveen Regency Chitradurga,4,11/29/2013,Aug-13,on business,4,3,4,4,3,3
Hotel Prem Bihari Haridwar,1,06-01-2014,May-14,with family,1,3,3,3,4,1
Hotel Shreenath Palace Jaisalmer,5,10/16/2014,Oct-14,as a couple,NA,5,NA,5,NA,5
Hotel Shreenath Palace Jaisalmer,5,10/14/2014,Oct-14,with family,NA,5,NA,4,NA,5
Hotel Shreenath Palace Jaisalmer,5,10-02-2014,Aug-14,with family,NA,5,5,NA,NA,5
Hotel Shreenath Palace Jaisalmer,4,9/29/2014,Sep-14,with friends,NA,4,NA,4,NA,4
Hotel Shreenath Palace Jaisalmer,5,8/20/2014,Aug-14,as a couple,5,5,NA,NA,NA,5
Hotel Shreenath Palace Jaisalmer,5,6/22/2014,May-14,as a couple,5,5,5,5,5,5
Hotel Shreenath Palace Jaisalmer,5,6/13/2014,Feb-14,NA,5,5,NA,5,5,5
Hotel Shreenath Palace Jaisalmer,5,5/14/2014,May-14,NA,5,5,NA,5,5,5
Hotel Shreenath Palace Jaisalmer,5,4/29/2014,Apr-14,with family,5,5,4,5,5,5
Hotel Shreenath Palace Jaisalmer,5,4/18/2014,Apr-14,as a couple,NA,NA,NA,NA,NA,NA
Hotel Shreenath Palace Jaisalmer,5,3/22/2014,Jan-14,solo,4,5,4,5,4,4
Hotel Shreenath Palace Jaisalmer,5,3/19/2014,Mar-14,with friends,5,5,5,5,5,5
Hotel Shreenath Palace Jaisalmer,5,03-12-2014,Feb-14,as a couple,5,4,5,5,4,5
Hotel Shreenath Palace Jaisalmer,5,03-12-2014,Mar-14,NA,5,5,NA,5,5,5
Hotel Shreenath Palace Jaisalmer,5,2/26/2014,Feb-14,as a couple,5,5,5,5,5,5
Hotel Shreenath Palace Jaisalmer,5,1/30/2014,Jan-14,as a couple,5,5,4,5,5,5
Hotel Shreenath Palace Jaisalmer,4,1/18/2014,Jan-14,NA,4,4,NA,4,4,4
Hotel Shreenath Palace Jaisalmer,5,1/17/2014,Feb-13,with friends,5,5,5,5,5,5
Hotel Shreenath Palace Jaisalmer,5,1/14/2014,Jan-14,as a couple,5,5,4,5,5,5
Hotel Shreenath Palace Jaisalmer,5,01-11-2014,Jan-14,with friends,5,5,5,5,4,5
Hotel Shreenath Palace Jaisalmer,5,01-11-2014,Jan-14,as a couple,5,5,5,5,5,5
Hotel Shreenath Palace Jaisalmer,5,01-11-2014,Jan-14,with friends,5,5,5,5,4,5
Hotel Shreenath Palace Jaisalmer,4,01-08-2014,Dec-13,as a couple,NA,NA,NA,NA,NA,NA
Hotel Shreenath Palace Jaisalmer,5,01-04-2014,Dec-13,as a couple,5,5,5,5,5,5
Hotel Shreenath Palace Jaisalmer,5,12-10-2013,Dec-13,with family,5,5,5,5,5,5
Hotel Shreenath Palace Jaisalmer,5,12-03-2013,Nov-13,as a couple,NA,NA,NA,NA,NA,NA
Hotel Shreenath Palace Jaisalmer,5,11/24/2013,Nov-13,as a couple,5,5,5,5,3,5
Hotel Shreenath Palace Jaisalmer,5,11/22/2013,Nov-13,with friends,5,4,4,4,4,5
Hotel Shreenath Palace Jaisalmer,5,11/22/2013,Nov-13,NA,5,5,NA,5,5,5
Hotel Shreenath Palace Jaisalmer,5,11/19/2013,Nov-13,with friends,5,5,4,5,5,5
Hotel Shreenath Palace Jaisalmer,5,11/15/2013,Nov-13,with friends,NA,NA,NA,NA,NA,NA
Hotel Shreenath Palace Jaisalmer,4,11-10-2013,Oct-13,as a couple,4,5,4,4,4,5
Hotel Shreenath Palace Jaisalmer,4,11-08-2013,Nov-13,with family,4,5,4,5,4,5
Hotel Shreenath Palace Jaisalmer,5,11-07-2013,Oct-13,with family,NA,NA,NA,NA,NA,NA
Hotel Shreenath Palace Jaisalmer,2,11-01-2013,Oct-13,as a couple,3,4,2,3,2,3
Hotel Shreenath Palace Jaisalmer,5,10/25/2013,Oct-13,with family,5,5,5,5,5,5
Hotel Shreenath Palace Jaisalmer,3,10-04-2013,Aug-13,NA,4,3,NA,3,4,4
Hotel Shreenath Palace Jaisalmer,5,9/29/2013,Aug-13,with family,5,4,5,4,5,5
Hotel Shreenath Palace Jaisalmer,5,9/28/2013,Sep-13,as a couple,4,5,5,5,4,4
Hotel Shreenath Palace Jaisalmer,1,9/26/2013,Oct-12,with family,1,5,3,4,3,3
Hotel Shreenath Palace Jaisalmer,5,09-12-2013,Aug-13,with family,5,5,5,5,5,5
Hotel Shreenath Palace Jaisalmer,5,6/23/2013,Dec-12,with family,4,4,4,5,5,5
Hotel Shreenath Palace Jaisalmer,5,4/24/2013,Mar-13,as a couple,5,5,3,5,4,5
Hotel Shreenath Palace Jaisalmer,5,3/30/2013,Feb-13,as a couple,4,5,4,4,4,5
